Mewtwo;double-edge;120;100.0;15;38;Physique;normal;
tri-attack;80;100.0;10;161;Special;normal;
counter;0;100.0;20;68;Physique;fighting;
submission;80;80.0;20;66;Physique;fighting;
mega-kick;120;75.0;5;25;Physique;normal;
strength;80;100.0;15;70;Physique;normal;
solar-beam;120;100.0;10;76;Special;grass;
psychic;90;100.0;10;94;Special;psychic;
psychic;90;100.0;10;94;Special;psychic;
bide;0;0.0;10;117;Physique;normal;
skull-bash;130;100.0;10;130;Physique;normal;
mega-punch;80;85.0;20;5;Physique;normal;
pay-day;40;100.0;20;6;Physique;normal;
confusion;50;100.0;25;93;Special;psychic;
fire-blast;110;85.0;5;126;Special;fire;
psywave;0;100.0;15;149;Special;psychic;
ice-beam;90;100.0;10;58;Special;ice;
bubble-beam;65;100.0;20;61;Special;water;
blizzard;110;70.0;5;59;Special;ice;
rage;20;100.0;20;99;Physique;normal;
take-down;90;85.0;20;36;Physique;normal;
self-destruct;200;100.0;5;120;Physique;normal;
thunder;110;70.0;10;87;Special;electric;
thunderbolt;90;100.0;15;85;Special;electric;
body-slam;85;100.0;15;34;Physique;normal;
psychic;90;100.0;10;94;Special;psychic;
swift;60;0.0;20;129;Special;normal;
water-gun;40;100.0;25;55;Special;water;
hyper-beam;150;90.0;5;63;Special;normal;
seismic-toss;0;100.0;20;69;Physique;fighting;
Raichu;rage;20;100.0;20;99;Physique;normal;
body-slam;85;100.0;15;34;Physique;normal;
mega-kick;120;75.0;5;25;Physique;normal;
submission;80;80.0;20;66;Physique;fighting;
thunderbolt;90;100.0;15;85;Special;electric;
hyper-beam;150;90.0;5;63;Special;normal;
pay-day;40;100.0;20;6;Physique;normal;
take-down;90;85.0;20;36;Physique;normal;
mega-punch;80;85.0;20;5;Physique;normal;
seismic-toss;0;100.0;20;69;Physique;fighting;
thunder;110;70.0;10;87;Special;electric;
thunder-shock;40;100.0;30;84;Special;electric;
bide;0;0.0;10;117;Physique;normal;
skull-bash;130;100.0;10;130;Physique;normal;
double-edge;120;100.0;15;38;Physique;normal;
swift;60;0.0;20;129;Special;normal;
Arbok;poison-sting;15;100.0;35;40;Physique;poison;
strength;80;100.0;15;70;Physique;normal;
earthquake;100;100.0;10;89;Physique;ground;
skull-bash;130;100.0;10;130;Physique;normal;
rock-slide;75;90.0;10;157;Physique;rock;
body-slam;85;100.0;15;34;Physique;normal;
dig;80;100.0;10;91;Physique;ground;
bite;60;100.0;25;44;Physique;double-edge;120;100.0;15;38;Physique;normal;
rage;20;100.0;20;99;Physique;normal;
bide;0;0.0;10;117;Physique;normal;
fissure;0;30.0;5;90;Physique;ground;
take-down;90;85.0;20;36;Physique;normal;
poison-sting;15;100.0;35;40;Physique;poison;
hyper-beam;150;90.0;5;63;Special;normal;
wrap;15;90.0;20;35;Physique;normal;
acid;40;100.0;30;51;Special;poison;
mega-drain;40;100.0;15;72;Special;grass;
Kabuto;body-slam;85;100.0;15;34;Physique;normal;
double-edge;120;100.0;15;38;Physique;normal;
hydro-pump;110;80.0;5;56;Special;water;
water-gun;40;100.0;25;55;Special;water;
take-down;90;85.0;20;36;Physique;normal;
slash;70;100.0;20;163;Physique;normal;
surf;90;100.0;15;57;Special;water;
absorb;20;100.0;25;71;Special;grass;
scratch;40;100.0;35;10;Physique;normal;
rage;20;100.0;20;99;Physique;normal;
bide;0;0.0;10;117;Physique;normal;
ice-beam;90;100.0;10;58;Special;ice;
blizzard;110;70.0;5;59;Special;ice;
bubble-beam;65;100.0;20;61;Special;water;
Charmander;body-slam;85;100.0;15;34;Physique;normal;
dig;80;100.0;10;91;Physique;ground;
counter;0;100.0;20;68;Physique;fighting;
cut;50;95.0;30;15;Physique;normal;
bide;0;0.0;10;117;Physique;normal;
slash;70;100.0;20;163;Physique;normal;
double-edge;120;100.0;15;38;Physique;normal;
seismic-toss;0;100.0;20;69;Physique;fighting;
skull-bash;130;100.0;10;130;Physique;normal;
swift;60;0.0;20;129;Special;normal;
scratch;40;100.0;35;10;Physique;normal;
rage;20;100.0;20;99;Physique;normal;
take-down;90;85.0;20;36;Physique;normal;
fire-spin;35;85.0;15;83;Special;fire;
mega-punch;80;85.0;20;5;Physique;normal;
submission;80;80.0;20;66;Physique;fighting;
rage;20;100.0;20;99;Physique;normal;
mega-kick;120;75.0;5;25;Physique;normal;
dragon-rage;0;100.0;10;82;Special;dragon;
strength;80;100.0;15;70;Physique;normal;
fire-blast;110;85.0;5;126;Special;fire;
ember;40;100.0;25;52;Special;fire;
